Player,Defensive Possessions,DCM,DCM_Z,Middle Drives,Middle Drive Frequency,Uncontested 3s,UC3 Frequency,Paint Touches,Paint Touch Per Poss.,Fouls,Foul Frequency,Deflections,Deflection Per Poss.,Charges Taken,Charge Frequency,Loose Balls Recovered,Loose Ball Recovered Frequency,Successful Boxouts,Successful Boxout Frequency,O-Boards Allowed,OBoard Allowed Frequency,On-Ball Opportunities,Boxout Opportunities,Missed Boxouts,Middle Drive Frequency Z-Score,UC3 Frequency Z-Score,Paint Touch Per Poss. Z-Score,Foul Frequency Z-Score,Deflection Per Poss. Z-Score,Charge Frequency Z-Score,Loose Ball Recovered Frequency Z-Score,Successful Boxout Frequency Z-Score,OBoard Allowed Frequency Z-Score,Middle Drive Frequency Percentile,UC3 Frequency Percentile,Paint Touch Per Poss. Percentile,Foul Frequency Percentile,Deflection Per Poss. Percentile,Charge Frequency Percentile,Loose Ball Recovered Frequency Percentile,Successful Boxout Frequency Percentile,OBoard Allowed Frequency Percentile
#03 Danae Powell,60,4.786,0.524,8,0.308,9,0.346,22,0.367,0,0.0,10,0.167,0,0.0,2,0.033,4,0.8,1,0.2,26,5,1,0.914,-0.037,0.603,0.878,0.527,-0.493,2.849,0.22,-1.006,84.615,38.462,76.923,80.769,69.231,42.308,100.0,53.846,19.231
#24 Kayla Jones,105,4.683,0.455,17,0.486,9,0.257,40,0.381,1,0.01,19,0.181,1,0.01,1,0.01,19,0.864,0,0.0,35,22,3,0.295,0.477,0.455,-0.209,0.847,0.931,0.358,0.574,1.174,53.846,61.538,69.231,38.462,76.923,84.615,76.923,76.923,84.615
#06 Shawnee Nordstrom,87,4.65,0.433,12,0.267,7,0.156,30,0.345,1,0.011,17,0.195,1,0.011,0,0.0,10,0.833,3,0.25,45,12,2,1.056,1.06,0.835,-0.318,1.167,1.073,-0.725,0.402,-1.552,100.0,92.308,92.308,30.769,92.308,92.308,30.769,69.231,7.692
#30 Janay Brantley,18,4.564,0.376,2,0.4,2,0.4,8,0.444,0,0.0,4,0.222,0,0.0,0,0.0,3,1.0,0,0.0,5,3,0,0.594,-0.349,-0.21,0.878,1.784,-0.493,-0.725,1.325,1.174,69.231,30.769,38.462,80.769,100.0,42.308,30.769,92.308,84.615
#02 Mari Somvichian,83,4.2,0.133,23,0.548,10,0.238,37,0.446,0,0.0,10,0.12,2,0.024,0,0.0,5,0.417,2,0.167,42,12,7,0.079,0.586,-0.232,0.878,-0.547,2.924,-0.725,-1.896,-0.647,38.462,84.615,30.769,80.769,30.769,100.0,30.769,7.692,42.308
#22 Ali'a Matavao,16,4.148,0.098,2,0.286,1,0.143,11,0.688,0,0.0,2,0.125,0,0.0,0,0.0,2,1.0,0,0.0,7,2,0,0.99,1.135,-2.788,0.878,-0.432,-0.493,-0.725,1.325,1.174,92.308,100.0,7.692,80.769,38.462,42.308,30.769,92.308,84.615
#08 Shanayka Ismar,55,3.968,-0.021,9,0.333,8,0.296,23,0.418,0,0.0,5,0.091,0,0.0,0,0.0,6,0.6,2,0.2,27,10,4,0.827,0.251,0.064,0.878,-1.209,-0.493,-0.725,-0.885,-1.006,76.923,46.154,53.846,80.769,15.385,42.308,30.769,23.077,19.231
#13 Ivana Krajina,86,3.921,-0.053,11,0.5,9,0.409,23,0.267,2,0.023,16,0.186,0,0.0,1,0.012,7,0.636,2,0.182,22,11,4,0.246,-0.401,1.659,-1.622,0.962,-0.493,0.575,-0.686,-0.81,46.154,23.077,100.0,15.385,84.615,42.308,84.615,30.769,30.769
#0 Sarah Deng,107,3.85,-0.1,29,0.483,15,0.25,46,0.43,1,0.009,14,0.131,0,0.0,1,0.009,9,0.5,3,0.167,60,18,9,0.305,0.517,-0.063,-0.1,-0.295,-0.493,0.25,-1.437,-0.647,61.538,73.077,46.154,50.0,46.154,42.308,65.385,15.385,42.308
#55 Maya Hernandez,108,3.636,-0.242,20,0.833,14,0.583,39,0.361,1,0.009,16,0.148,0,0.0,1,0.009,18,0.818,2,0.091,24,22,4,-0.912,-1.406,0.666,-0.1,0.093,-0.493,0.25,0.32,0.182,23.077,15.385,84.615,50.0,61.538,42.308,65.385,61.538,61.538
#04 Allison Clarke,72,3.517,-0.322,17,1.062,4,0.25,35,0.486,1,0.014,4,0.056,0,0.0,1,0.014,8,1.0,0,0.0,16,8,0,-1.708,0.517,-0.654,-0.644,-2.009,-0.493,0.791,1.325,1.174,15.385,73.077,15.385,23.077,7.692,42.308,92.308,92.308,84.615
#11 Erica Finney,68,3.215,-0.523,20,0.714,8,0.286,28,0.412,2,0.029,9,0.132,0,0.0,0,0.0,10,0.714,2,0.143,28,14,4,-0.498,0.309,0.128,-2.274,-0.272,-0.493,-0.725,-0.255,-0.385,30.769,53.846,61.538,7.692,53.846,42.308,30.769,46.154,53.846
#07 Ana Milanovic,77,2.863,-0.758,18,1.2,12,0.8,36,0.468,0,0.0,9,0.117,0,0.0,0,0.0,7,0.7,0,0.0,15,10,3,-2.188,-2.658,-0.464,0.878,-0.615,-0.493,-0.725,-0.332,1.174,7.692,7.692,23.077,80.769,23.077,42.308,30.769,38.462,84.615
