Player,Defensive Possessions,On-Ball Opportunities,Boxout Opportunities,Middle Drives,Uncontested 3s,Paint Touches,Fouls,Deflections,Charges Taken,Loose Balls Recovered,Successful Boxouts,O-Boards Allowed,Missed Boxouts,Middle Drive Frequency,UC3 Frequency,Paint Touch Per Poss.,Foul Frequency,Deflection Per Poss.,Charge Frequency,Loose Ball Recovered Frequency,Successful Boxout Frequency,OBoard Allowed Frequency
#0 Sarah Deng,107,60,18,29,15,46,1,14,0,1,9,3,9,0.483,0.25,0.43,0.009,0.131,0.0,0.009,0.5,0.167
#02 Mari Somvichian,83,42,12,23,10,37,0,10,2,0,5,2,7,0.548,0.238,0.446,0.0,0.12,0.024,0.0,0.417,0.167
#03 Danae Powell,60,26,5,8,9,22,0,10,0,2,4,1,1,0.308,0.346,0.367,0.0,0.167,0.0,0.033,0.8,0.2
#04 Allison Clarke,72,16,8,17,4,35,1,4,0,1,8,0,0,1.062,0.25,0.486,0.014,0.056,0.0,0.014,1.0,0.0
#06 Shawnee Nordstrom,87,45,12,12,7,30,1,17,1,0,10,3,2,0.267,0.156,0.345,0.011,0.195,0.011,0.0,0.833,0.25
#07 Ana Milanovic,77,15,10,18,12,36,0,9,0,0,7,0,3,1.2,0.8,0.468,0.0,0.117,0.0,0.0,0.7,0.0
#08 Shanayka Ismar,55,27,10,9,8,23,0,5,0,0,6,2,4,0.333,0.296,0.418,0.0,0.091,0.0,0.0,0.6,0.2
#11 Erica Finney,68,28,14,20,8,28,2,9,0,0,10,2,4,0.714,0.286,0.412,0.029,0.132,0.0,0.0,0.714,0.143
#13 Ivana Krajina,86,22,11,11,9,23,2,16,0,1,7,2,4,0.5,0.409,0.267,0.023,0.186,0.0,0.012,0.636,0.182
#22 Ali'a Matavao,16,7,2,2,1,11,0,2,0,0,2,0,0,0.286,0.143,0.688,0.0,0.125,0.0,0.0,1.0,0.0
#24 Kayla Jones,105,35,22,17,9,40,1,19,1,1,19,0,3,0.486,0.257,0.381,0.01,0.181,0.01,0.01,0.864,0.0
#30 Janay Brantley,18,5,3,2,2,8,0,4,0,0,3,0,0,0.4,0.4,0.444,0.0,0.222,0.0,0.0,1.0,0.0
#55 Maya Hernandez,108,24,22,20,14,39,1,16,0,1,18,2,4,0.833,0.583,0.361,0.009,0.148,0.0,0.009,0.818,0.091
