Player,Defensive Possessions,On-Ball Opportunities,Boxout Opportunities,Middle Drives,Uncontested 3s,Paint Touches,Fouls,Deflections,Charges Taken,Loose Balls Recovered,Successful Boxouts,O-Boards Allowed,Missed Boxouts
#02 Mari Somvichian,36,19,6,6,4,12,0,7,1,0,2,1,4
#03 Danae Powell,40,14,4,1,5,10,0,9,0,1,4,0,0
#04 Allison Clarke,40,10,5,7,2,20,0,3,0,0,5,0,0
#06 Shawnee Nordstrom,59,33,8,8,4,19,1,10,1,0,6,3,2
#07 Ana Milanovic,34,5,5,4,5,8,0,5,0,0,3,0,2
#08 Shanayka Ismar,32,11,5,3,2,11,0,2,0,0,2,2,3
#11 Erica Finney,39,19,10,8,5,13,0,7,0,0,8,2,2
#13 Ivana Krajina,49,13,3,3,6,13,1,12,0,0,1,0,2
#22 Ali'a Matavao,11,4,1,1,1,6,0,1,0,0,1,0,0
#24 Kayla Jones,54,16,11,5,2,22,1,9,1,1,10,0,1
#30 Janay Brantley,13,4,2,1,2,4,0,3,0,0,2,0,0
#55 Maya Hernandez,50,8,10,6,5,15,0,9,0,0,7,1,3
#0 Sarah Deng,48,25,5,12,6,18,0,8,0,1,2,0,3
