,#0 Sarah Dang,#0 Sarah Deng,#2 Mari Somvichian,#02 Mari Somvichian,#03 Danae Powell,#3 Danae Powell,#04 Allison Clarke,#4 Allison Clarke,#6 Shawnee Nordstrom,#06 Shawnee Nordstrom,#07 Ana Milanovic,#7 Ana Milanovic,#8 Shanayka Ismar,#08 Shanayka Ismar,#11 Erica Finney,#13 Ivana Krajina,#22 Ali'a Matavao,#24 Kayla Jones,#30 Janay Brantley,#55 Maya Hernandez,2 Man Close-outs,2 Man Shell,2FGA,2FGm,2FGM,3 Man Transition Offense,3 Minute Conditioning,3FGA,3FGm,3FGM,3v2 | 2v1,3v3 Sling Rotations,50-50 Ball,Allow Middle,Allow O-Board,Allow OBoard,Allow Paint Touch,Allow Reversal,Allow UC 3,Allow Uncontested Three,Assist,At Rim -2,At Rim +2,Bad Pass,Ball Screen,C&S -3,C&S +3,Charge,Def Reb,Defend Scout,Defense,Deflection,Driving Layup,Dump-off,Forced Turnover,Foul,Foul - Defensive Foul,FT Drawn,FTA,FTm,FTM,Full Court Ball Stop,Half-court,Leave Your Feet,Live,Loose Ball Recovered,Loses It,Missed Box Out,Missed Layup,O-Board Allowed,Off Reb,Offense,Offensive Install,On-Ball Opp,Perfect 5 Man Shell Progression,Play Call,Play Call - Golden State,Play Call - Horns - 1,Play Call - Twirl 1,Play Call - Twirl Eye,Position Shooting,Post Move,Progression Lay up,Pull Up -2,Pull Up -3,Pull Up +2,Pull Up +3,Putback,Scout Team -2,Scout Team -3,Scout Team +2,Scout Team +3,Scout Team Turnover,Star Passing,Steal,Successful,Successful Boxout,twirl down,twirl eye,Taken away,Transition,Turnover,Unsuccessful,Whistle
Live,106,1,,79,35,,62,1,47,,73,,,34,60,78,7,92,7,106,,,,,,,,,,,,,,19,6,,32,,10,,,,,,1,,,,,,87,8,,,,,,1,,,,,51,,157,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,18,,58,26
#0 Sarah Dang,106,1,,28,,,21,1,47,,34,,,30,19,66,7,76,7,90,,,,,,,,,,,,,,11,5,,21,,8,,,,,,1,,,,,,59,5,,,,,,,,,,,37,,106,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,13,,40,15
#02 Mari Somvichian,28,,,81,35,,46,,1,,56,,,13,47,22,,32,,38,,,,,,,,,,,,,,12,5,,21,1,5,,,,,,,,,,,,47,3,,,,,,1,1,1,,,29,,79,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,10,,24,13
#03 Danae Powell,,,,35,42,,35,,,,36,,,,35,,,,,,,,1,,1,,,1,1,,,,,5,1,,9,1,2,,,,1,,,1,,,,,20,1,1,,,,,2,2,1,1,,5,,35,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,1,9,,,1,,3,,13,11
#6 Shawnee Nordstrom,47,4,,1,,,,1,76,,1,,,8,,39,7,40,7,39,,,,,,,,,,,,,,3,,,11,3,3,,,,,,,,,,4,,28,7,,,1,,,,,,,,5,,47,,,,,,,19,,12,,,,,,,,,,,,,,,,,,,,,,16,4,,,,4,,22,7
#07 Ana Milanovic,34,,,56,36,,51,,1,,80,,,13,51,8,,15,,29,,,,,,,,,,,,,,13,2,,18,1,6,,1,,,1,1,,,,,,43,3,,,,,,1,,,,,28,,73,,1,,,,3,29,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,8,2,20,15
#08 Shanayka Ismar,30,1,,13,,,,,8,,13,,,36,,8,7,25,7,26,,,,,,,,,,,,,,6,1,,11,2,4,,,,,,1,,,,,,23,3,,,,,,,,,,,23,,34,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,9,3
#11 Erica Finney,19,,,47,35,,47,,,,51,,,,92,16,,9,,17,,,4,3,1,,,2,1,1,,,,12,2,,15,1,2,1,,3,1,1,,1,1,,,,29,2,1,,,2,1,1,,,,,17,,60,,,2,1,1,,30,,9,,,,,,,,,,,,,,,,,,,,,,11,2,,,1,6,2,20,15
#13 Ivana Krajina,66,1,,22,,,13,1,39,,8,,,8,16,117,,70,,72,,,2,1,1,,,5,4,1,,,,8,4,2,10,2,3,,1,1,,2,,3,1,,1,,37,4,,,,1,,,,,,,20,1,78,,,2,,,,41,,9,,,,,,,,,,,1,1,,,,,,,,,1,19,6,,,1,11,3,37,11
#22 Ali'a Matavao,7,,,,,,,,7,,,,,7,,,12,,7,,,,,,,,,,,,,,,1,,,5,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,7,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,4,1
