,#0 Sarah Deng,#2 Mari Somvichian,#3 Danae Powell,#4 Allison Clarke,#6 Shawnee Nordstrom,#8 Shanayka Ismar,#11 Erica Finney,#13 Ivana Krajina,#22 Ali'a Matavao,#24 Kayla Jones,#55 Maya Hernandez,5v5 Live,Allow Middle,Allow OBoard,Allow Paint Touch,Allow UC 3,Allow Uncontested Three,Allow_Middle,Allow_O-Board,Allow_Paint_Touch,Allow_UC3,Charge,Closeout Opp,Defense,Deflection,Deflection_,Foul,Live,Loose Ball Recovered,Missed Box Out,Score,Stop,Successful Boxout,Whistle
Live,26,26,34,27,40,25,11,38,9,43,46,23,,,,1,,19,1,38,10,,,65,,13,,65,,,4,15,,4
#0 Sarah Deng,66,3,9,16,10,23,4,5,9,9,18,9,3,,7,1,3,11,,17,4,,20,26,2,2,1,26,,,1,5,7,1
#2 Mari Somvichian,3,57,9,12,14,,,19,,26,21,14,2,2,5,,1,3,1,16,6,,13,26,,6,,26,,4,,3,4,
#3 Danae Powell,9,9,61,20,16,11,7,19,9,21,15,9,,,3,,,10,,14,3,,16,34,,8,1,34,1,1,3,10,5,3
#4 Allison Clarke,16,12,20,52,2,16,4,5,9,14,11,9,2,,6,1,1,9,,12,3,,13,27,,3,,27,,2,1,6,1,2
#6 Shawnee Nordstrom,10,14,16,2,95,12,7,33,,31,35,14,6,,6,1,1,11,1,27,7,,28,40,5,10,,40,,3,3,10,6,3
#8 Shanayka Ismar,23,,11,16,12,46,4,5,9,7,14,9,1,,5,2,1,11,,17,4,,7,25,,2,3,25,,1,1,3,3,2
#11 Erica Finney,4,,7,4,7,4,16,7,,3,8,,1,,,,,7,,6,,,2,11,,2,1,11,,1,3,6,,2
#13 Ivana Krajina,5,19,19,5,33,5,7,74,,29,30,14,,,4,,2,9,1,22,7,,14,38,4,11,1,38,,3,3,9,8,2
#22 Ali'a Matavao,9,,9,9,,9,,,22,,,9,3,,1,,1,4,,4,3,,5,9,1,2,,9,,1,,,1,
#24 Kayla Jones,9,26,21,14,31,7,3,29,,90,33,14,3,,5,1,1,8,1,25,6,,23,43,3,10,2,43,,7,1,12,4,2
#55 Maya Hernandez,18,21,15,11,35,14,8,30,,33,104,14,4,,14,1,1,12,1,30,7,1,22,46,5,9,2,46,,5,4,11,7,3
