,#0 Sarah Deng,#02 Mari Somvichian,#2 Mari Somvichian,#03 Danae Powell,#3 Danae Powell,#04 Allison Clarke,#4 Allison Clarke,#6 Shawnee Nordstrom,#06 Shawnee Nordstrom,#07 Ana Milanovic,#7 Ana Milanovic,#08 Shanayka Ismar,#8 Shanayka Ismar,#11 Erica Finney,#13 Ivana Krajina,#22 Ali'a Matavao,#24 Kayla Jones,#30 Janay Brantley,#55 Maya Hernandez,2FGA,2FGm,2FGM,3FGA,3FGm,3FGM,50-50 Ball,Allow Middle,Allow OBoard,Allow Paint Touch,Allow UC 3,Allow Uncontested Three,Assist,At Rim -2,At Rim +2,C&S -3,C&S +3,Charge,Def Reb,Defend Scout,Defense,Deflection,Driving Layup,Foul,Half-court,Leave Your Feet,Lineup,Live,Missed Box Out,Missed Layup,Off Reb,Offense,On-Ball Opp,Pull Up -2,Pull Up -3,Pull Up +2,Putback,Steal,Successful Boxout,Transition,Turnover,Xavier
Live,99,62,,70,1,75,,33,78,65,,54,,76,106,11,99,13,100,,,,,,,,10,,27,7,,,,,,,,,,101,13,,,64,,17,188,,,,87,,,,,,,,32,,
#02 Mari Somvichian,26,66,,20,,19,,1,17,57,,12,,21,35,2,24,4,11,1,1,,,,,,3,,9,4,,,1,,,,,,,36,5,,,18,,5,62,,,1,26,,,,,,1,,13,1,
#03 Danae Powell,19,20,,75,1,14,,4,39,22,,18,,21,51,7,39,9,17,1,,1,1,1,,,1,,10,4,,,,1,1,,,1,,40,8,1,,23,,11,70,,,,30,,,,,,2,,12,,
#3 Danae Powell,,,,1,21,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,1,14,,,,,,4,,,
#04 Allison Clarke,37,19,,14,1,80,,14,17,26,,30,,14,41,4,34,4,46,1,,1,1,1,,,6,,14,2,,,,,1,,,1,,40,3,,,23,,6,75,,,,35,,,,1,,2,,13,,
#6 Shawnee Nordstrom,28,1,,4,,14,,91,,1,,1,,12,19,,21,,32,,,,,,,,6,3,10,2,2,,,,,,1,,,15,7,,1,12,1,6,33,2,,,18,33,,,,,,6,5,,
#06 Shawnee Nordstrom,43,17,,39,,17,,,84,18,,9,,29,40,2,60,2,36,1,1,,2,2,,,2,,9,,,,1,,1,,,,,44,3,,,29,,,78,,,,34,,,1,,,2,,12,1,
#07 Ana Milanovic,24,57,,22,1,26,,1,18,68,,16,,23,40,2,21,2,9,1,,1,,,,,4,,7,3,,,,1,,,,,,34,4,,,21,,5,65,,,,31,,,,,,2,,14,,
#08 Shanayka Ismar,12,12,,18,1,30,,1,9,16,,60,,24,28,7,25,7,28,2,2,,,,,,2,,10,1,,,2,,,,,,,32,1,,,17,,6,54,,,,22,,,,,,2,,8,2,
#11 Erica Finney,35,21,,21,,14,,12,29,23,,24,,121,45,6,23,6,45,2,1,1,,,,,8,2,13,4,1,,,1,,,,1,,39,7,1,,31,,11,76,2,,,37,19,1,,,,,8,10,1,
#13 Ivana Krajina,41,35,,51,1,41,,19,40,40,,28,,45,141,,41,,44,3,,3,2,1,1,,3,,13,3,3,1,,3,1,1,,1,,49,12,3,1,40,,5,106,2,,,57,13,,,,,3,1,22,,
#22 Ali'a Matavao,,2,,7,,4,,,2,2,,7,,6,,18,,11,3,,,,,,,,1,,6,1,,,,,,,,,,11,1,,,,,6,11,,,,,4,,,,,,1,,,
#24 Kayla Jones,57,24,,39,,34,,21,60,21,,25,,23,41,,146,,52,3,1,2,,,,1,5,,22,1,1,1,1,2,,,1,,,54,9,,1,34,,6,99,1,,2,45,16,,,,1,1,10,17,1,
#30 Janay Brantley,2,4,,9,,4,,,2,2,,7,,6,,11,,21,5,,,,,,,,1,,4,2,,,,,,,,,,13,3,,,,,6,13,,,,,4,,,,,1,2,,,
#55 Maya Hernandez,72,11,,17,,46,,32,36,9,,28,,45,44,3,52,5,128,2,,2,,,,,6,1,15,4,1,,,2,,,,,,50,9,,,37,,6,100,3,,,50,8,,,,,,7,17,2,
Half-court,36,18,,23,,23,,12,29,21,,17,,31,40,,34,,37,,,,,,,,,,5,,,,,,,,,,,11,1,,,64,,,64,,,,53,,,,,,,,,,
Transition,17,13,,12,,13,,5,12,14,,8,,10,22,,17,,17,,,,,,,,,,,,,,,,,,,,,5,,,,,,,32,,,,27,,,,,,,,32,,
#0 Sarah Deng,145,26,,19,,37,,28,43,24,,12,,35,41,,57,2,72,1,,1,1,,1,,12,,18,4,2,1,,1,,1,,,,48,8,1,,36,,6,99,3,,,51,25,,,,,1,2,17,,
#2 Mari Somvichian,,,35,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,,,,,,,,1,,,,2,,,,,,,4,,,,19,,,,,,2,,,
#4 Allison Clarke,,,,,,,22,,,,,,,,,,,,,,,,,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,5,,,
#7 Ana Milanovic,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,1,,,,,,,2,,,,5,,,,,,3,,,
#8 Shanayka Ismar,,,,,,,,,,,,,22,,,,,,,,,,,,,,1,2,1,,1,,,,,,,,,,1,,,,,,,3,,,,11,,,,,,2,,,
