Unnamed: 0,#0 Sarah Deng,#02 Mari Somvichian,#03 Danae Powell,#04 Allison Clarke,#06 Shawnee Nordstrom,#07 Ana Milanovic,#08 Shanayka Ismar,#11 Erica Finney,#13 Ivana Krajina,#22 Ali'a Matavao,#24 Kayla Jones,#30 Janay Brantley,#55 Maya Hernandez,2 Man Close-outs,2 Man Shell,2FGA,2FGm,2FGM,3 Man Transition Offense,3 Minute Conditioning,3FGA,3FGm,3FGM,3v2 | 2v1,3v3 Sling Rotations,50-50 Ball,Allow Middle,Allow O-Board,Allow OBoard,Allow Paint Touch,Allow Reversal,Allow UC 3,Allow Uncontested Three,Assist,At Rim -2,At Rim +2,Bad Pass,Ball Screen,C&S -3,C&S +3,Charge,Def Reb,Defend Scout,Defense,Deflection,Driving Layup,Dump-off,Forced Turnover,Foul,Foul - Defensive Foul,FT Drawn,FTA,FTm,FTM,Full Court Ball Stop,Half-court,Leave Your Feet,Live,Loose Ball Recovered,Loses It,Missed Box Out,Missed Layup,O-Board Allowed,Off Reb,Offense,Offensive Install,On-Ball Opp,Perfect 5 Man Shell Progression,Play Call,Play Call - Golden State,Play Call - Horns - 1,Play Call - Twirl 1,Play Call - Twirl Eye,Position Shooting,Post Move,Progression Lay up,Pull Up -2,Pull Up -3,Pull Up +2,Pull Up +3,Putback,Scout Team -2,Scout Team -3,Scout Team +2,Scout Team +3,Scout Team Turnover,Star Passing,Steal,Successful,Successful Boxout,twirl down,twirl eye,Taken away,Transition,Turnover,Unsuccessful,Whistle
Live,107.0,79.0,35.0,63.0,47.0,73.0,34.0,60.0,78.0,7.0,92.0,7.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,0.0,32.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,18.0,0.0,58.0,26.0
#0 Sarah Deng,203.0,28.0,0.0,22.0,52.0,34.0,32.0,19.0,67.0,7.0,78.0,7.0,91.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,17.0,5.0,3.0,28.0,7.0,8.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,59.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,107.0,0.0,0.0,6.0,0.0,1.0,1.0,48.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,7.0,0.0,0.0,1.0,13.0,6.0,41.0,15.0
#02 Mari Somvichian,28.0,125.0,37.0,46.0,1.0,57.0,13.0,47.0,22.0,0.0,32.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,1.0,25.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.0,0.0,79.0,0.0,0.0,3.0,0.0,0.0,0.0,31.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,10.0,0.0,24.0,13.0
#03 Danae Powell,0.0,37.0,69.0,35.0,0.0,39.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,12.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,5.0,0.0,35.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,3.0,0.0,13.0,11.0
#06 Shawnee Nordstrom,52.0,1.0,0.0,1.0,84.0,1.0,8.0,0.0,39.0,7.0,40.0,7.0,39.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,11.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,28.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,4.0,0.0,22.0,7.0
#07 Ana Milanovic,34.0,57.0,39.0,51.0,1.0,116.0,13.0,51.0,8.0,0.0,15.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,28.0,5.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,43.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,1.0,73.0,0.0,1.0,1.0,0.0,0.0,3.0,29.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,8.0,2.0,20.0,15.0
#08 Shanayka Ismar,32.0,13.0,0.0,0.0,8.0,13.0,64.0,0.0,8.0,7.0,25.0,7.0,26.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,12.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,9.0,3.0
#11 Erica Finney,19.0,47.0,35.0,47.0,0.0,51.0,0.0,92.0,16.0,0.0,9.0,0.0,17.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,12.0,2.0,0.0,15.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,29.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,60.0,0.0,0.0,2.0,1.0,1.0,0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,1.0,6.0,2.0,20.0,15.0
#13 Ivana Krajina,67.0,22.0,0.0,14.0,39.0,8.0,8.0,16.0,117.0,0.0,70.0,0.0,72.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,8.0,4.0,2.0,10.0,2.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,37.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,78.0,0.0,0.0,2.0,0.0,0.0,0.0,41.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,6.0,0.0,0.0,1.0,11.0,3.0,37.0,11.0
#22 Ali'a Matavao,7.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
