Player Combo,isTwoPlayer,Minutes,Off Min,Def Min,Off Poss,Def Poss,Total Possessions,rel_PM_p40,On-Off_PMp40,ORTG,DRTG,Net_RTG,On-Off,PM_p40,rel_Off_RTG,rel_Def_RTG,rel_Net_RTG,Plus_Minus,Off-Court PM_p40,Off-Court ORTG,Off-Court DRTG,Off-Court Net_RTG,Team Minutes,Team Plus_Minus,Team Off Poss,Team Def Poss,Team Total Possessions,Team ORTG,Team DRTG,Team Net_RTG,Team PM_p40
SD-SD,True,41.945,20.923,21.022,78,92,170,10.384,25.858,80.769,102.174,-21.405,24.093,-29.563,1.404,-8.216,9.62,-31,-55.421,77.083,122.581,-45.497,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-MH,True,33.085,18.07,15.015,67,69,136,14.558,30.776,67.164,95.652,-28.488,20.145,-25.389,-12.201,-14.737,2.537,-21,-56.166,75.758,124.39,-48.633,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
KJ-MH,True,30.147,15.295,14.852,56,68,124,-10.473,43.236,58.929,104.412,-45.483,19.567,-50.42,-20.437,-5.978,-14.459,-38,-93.656,65.385,130.435,-65.05,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-KJ,True,27.63,14.158,13.472,53,61,114,10.993,38.435,75.472,98.361,-22.889,34.769,-28.954,-3.893,-12.029,8.136,-20,-67.389,66.667,124.324,-57.658,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SN,True,24.288,12.615,11.673,47,53,100,28.419,58.931,95.745,98.113,-2.369,70.438,-11.528,16.38,-12.276,28.656,-7,-70.459,60.526,133.333,-72.807,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
IK-MH,True,24.003,14.412,9.592,53,42,95,44.946,106.077,75.472,88.095,-12.624,40.154,4.999,-3.893,-22.294,18.401,3,-101.078,83.333,136.111,-52.778,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-KJ,True,23.532,11.918,11.613,44,52,96,28.048,52.351,95.455,94.231,1.224,61.685,-11.899,16.089,-16.159,32.248,-7,-64.25,61.538,122.0,-60.462,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-AM7,True,22.692,11.097,11.595,40,54,94,-0.597,-11.729,95.0,112.963,-17.963,6.158,-40.544,15.635,2.573,13.062,-23,-28.814,87.879,112.0,-24.121,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-MH,True,22.167,11.392,10.775,42,48,90,27.315,62.458,80.952,85.417,-4.464,57.276,-12.632,1.587,-24.973,26.56,-7,-75.09,62.069,123.81,-61.741,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
IK-KJ,True,22.045,13.48,8.565,50,40,90,38.132,107.119,76.0,97.5,-21.5,67.516,-1.814,-3.365,-12.89,9.525,-1,-108.934,47.826,136.842,-89.016,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-IK,True,22.0,12.6,9.4,47,40,87,50.856,122.172,85.106,85.0,0.106,78.231,10.909,5.741,-25.39,31.131,6,-111.263,56.25,134.375,-78.125,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
DP-DP,True,20.143,9.905,10.238,34,44,78,-15.655,-21.968,70.588,118.182,-47.594,-22.93,-55.602,-8.777,7.792,-16.569,-28,-33.634,82.609,107.273,-24.664,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-IK,True,18.895,11.283,7.612,42,36,78,73.818,127.598,104.762,77.778,26.984,99.859,33.871,25.397,-32.612,58.009,16,-93.726,53.125,126.0,-72.875,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
AC-AM7,True,15.65,8.977,6.673,29,31,60,-18.839,-24.062,58.621,129.032,-70.412,-43.996,-58.786,-20.744,18.643,-39.387,-23,-34.724,73.585,100.0,-26.415,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
AC-MH,True,15.045,8.323,6.722,28,29,57,-7.91,-1.243,82.143,141.379,-59.236,-82.565,-47.856,2.778,30.99,-28.212,-18,-46.613,136.842,113.514,23.329,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
EF-AM7,True,13.368,6.412,6.957,25,33,58,-19.896,-9.23,60.0,106.061,-46.061,-4.494,-59.843,-19.365,-4.329,-15.036,-20,-50.613,73.585,115.152,-41.567,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-AC,True,13.357,7.842,5.515,26,26,52,-13.959,-34.149,73.077,142.308,-69.231,-57.028,-53.906,-6.288,31.918,-38.206,-18,-19.757,77.083,89.286,-12.202,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
EF-MH,True,12.878,7.347,5.532,29,21,50,46.159,37.006,79.31,100.0,-20.69,-2.874,6.212,-0.055,-10.39,10.335,2,-30.794,116.667,134.483,-17.816,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
AC-IK,True,12.76,8.595,4.165,24,18,42,36.812,80.626,95.833,133.333,-37.5,-14.312,-3.135,16.468,22.944,-6.475,-1,-83.761,83.333,106.522,-23.188,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-EF,True,12.695,6.453,6.242,26,29,55,-7.316,-12.031,65.385,110.345,-44.96,-11.029,-47.263,-13.98,-0.045,-13.936,-15,-35.232,71.154,105.085,-33.931,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
