Player,Minutes,Off Min,Def Min,Off Poss,Def Poss,Total Possessions,rel_PM_p40,On-Off_PMp40,ORTG,DRTG,Net_RTG,On-Off,PM_p40,rel_Off_RTG,rel_Def_RTG,rel_Net_RTG,Plus_Minus,Off-Court PM_p40,Off-Court ORTG,Off-Court DRTG,Off-Court Net_RTG,Team Minutes,Team Plus_Minus,Team Off Poss,Team Def Poss,Team Total Possessions,Team ORTG,Team DRTG,Team Net_RTG,Team PM_p40
Shawnee Nordstrom,31.432,15.475,15.957,57,70,127,28.493,51.658,103.509,97.143,6.366,68.374,-11.453,24.144,-13.247,37.39,-9,-63.112,59.42,121.429,-62.008,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
Ivana Krajina,37.925,22.28,15.645,79,70,149,41.001,89.34,86.076,95.714,-9.638,44.896,1.055,6.711,-14.675,21.386,1,-88.286,68.085,122.619,-54.534,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
Sarah Deng,41.945,20.923,21.022,78,92,170,10.384,25.858,80.769,102.174,-21.405,24.093,-29.563,1.404,-8.216,9.62,-31,-55.421,77.083,122.581,-45.497,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
Kayla Jones,39.158,20.177,18.982,74,86,160,8.28,18.762,79.73,104.651,-24.921,13.879,-31.666,0.365,-5.738,6.103,-31,-50.428,78.846,117.647,-38.801,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
Ana Milanovic,28.253,14.507,13.747,49,65,114,-2.526,-4.232,77.551,104.615,-27.064,7.023,-42.473,-1.814,-5.774,3.96,-30,-38.241,80.519,114.607,-34.087,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
Erica Finney,25.967,12.465,13.502,49,56,105,4.517,7.175,77.551,108.929,-31.378,-0.673,-35.43,-1.814,-1.461,-0.353,-23,-42.605,80.519,111.224,-30.705,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
Mari Somvichian,28.438,13.925,14.513,51,68,119,-12.096,-20.354,82.353,116.176,-33.824,-5.343,-52.042,2.988,5.787,-2.799,-37,-31.689,77.333,105.814,-28.481,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
Maya Hernandez,42.717,22.417,20.3,82,90,172,8.109,20.762,69.512,101.111,-31.599,-5.889,-31.838,-9.853,-9.278,-0.574,-34,-52.6,97.727,123.438,-25.71,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
Danae Powell,20.143,9.905,10.238,34,44,78,-15.655,-21.968,70.588,118.182,-47.594,-22.93,-55.602,-8.777,7.792,-16.569,-28,-33.634,82.609,107.273,-24.664,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
Shanayka Ismar,19.485,7.843,11.642,25,48,73,-50.379,-69.776,60.0,122.917,-62.917,-42.358,-90.326,-19.365,12.527,-31.892,-44,-20.55,84.158,104.717,-20.559,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
Allison Clarke,28.692,16.21,12.482,53,56,109,-13.03,-22.06,75.472,139.286,-63.814,-52.128,-52.977,-3.893,28.896,-32.789,-38,-30.917,82.192,93.878,-11.686,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
Janay Brantley,3.583,0.0,3.583,0,14,14,-216.797,-228.478,0.0,164.286,-164.286,-138.651,-256.744,-79.365,53.896,-133.261,-23,-28.266,79.365,105.0,-25.635,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
Ali'a Matavao,3.227,0.0,3.227,0,12,12,-207.987,-218.024,0.0,166.667,-166.667,-140.398,-247.934,-79.365,56.277,-135.642,-20,-29.91,79.365,105.634,-26.269,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
