Lineup,Minutes,Off Min,Def Min,Total Possessions,Off Poss,Def Poss,PM_p40,Net_RTG,Off PPP,Def PPP,ORTG,DRTG,Plus_Minus,rel_PM_p40,rel_Off_RTG,rel_Def_RTG,rel_Net_RTG,O_eFG%,O_TOV%,O_ORB%,O_FTR,D_eFG%,D_TOV%,D_ORB%,D_FTR,Stop Rate,Score Rate,Stops,Scores,2FGA,2FGM,3PA,3PM,FTA,FTM,TOV,ORB,FGA,FGM,2FGA Allowed,2FGM Allowed,3PA Allowed,3PM Allowed,FTA Allowed,FTM Allowed,TOV Forced,O-Boards Allowed,FGA Allowed,FGM Allowed,Points For,Points Against,Team Minutes,Team Plus_Minus,Team Off Poss,Team Def Poss,Team Total Possessions,Team ORTG,Team DRTG,Team Net_RTG,Team PM_p40
SD-SN-IK-KJ-MH,8.167,4.853,3.313,34,17,17,4.898,5.882,0.647,0.588,64.706,58.824,1,44.845,-14.659,-51.566,36.907,0.312,0.235,0.235,0.0,0.5,0.412,0.0,0.0,0.706,0.294,12,5,8,4,8,1,0,0,4,4,16,5,6,5,4,0,0,0,7,0,10,5,11,10,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-DP-AC-EF-AM7,6.348,3.368,2.98,27,13,14,-75.61,-81.868,0.538,1.357,53.846,135.714,-12,-35.664,-25.519,25.325,-50.844,0.333,0.154,0.231,0.333,0.75,0.143,0.071,0.0,0.357,0.308,5,4,6,3,3,0,3,1,2,3,9,3,9,8,3,1,0,0,2,1,12,9,7,19,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SN-EF-KJ-MH,2.705,2.048,0.657,11,7,4,29.575,-3.571,0.714,0.75,71.429,75.0,2,69.522,-7.937,-35.39,27.453,0.222,0.143,0.429,0.0,1.0,0.5,0.0,0.0,0.75,0.286,3,2,5,1,4,1,0,0,1,3,9,2,0,0,1,1,0,0,2,0,1,1,5,3,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SN-AC-KJ-MH,2.643,0.62,2.023,12,3,9,-166.456,-77.778,0.667,1.444,66.667,144.444,-11,-126.51,-12.698,34.055,-46.753,0.5,0.667,0.333,0.0,0.833,0.222,0.0,0.167,0.444,0.333,4,1,2,1,0,0,0,0,2,1,2,1,4,3,2,2,1,1,2,0,6,5,2,13,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SN-IK-EF-MH,2.343,1.757,0.587,10,7,3,85.349,33.333,1.0,0.667,100.0,66.667,5,125.295,20.635,-43.723,64.358,0.6,0.286,0.0,0.0,0.5,0.333,0.0,0.0,0.667,0.429,2,3,2,2,3,1,0,0,2,0,5,3,1,1,1,0,0,0,1,0,2,1,7,2,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SI-AC-IK-EF-MH,2.32,1.008,1.312,8,4,4,17.241,25.0,1.5,1.25,150.0,125.0,1,57.188,70.635,14.61,56.025,0.75,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.75,2,3,3,3,1,0,0,0,0,0,4,3,1,1,1,1,0,0,2,0,2,2,6,5,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SI-AC-KJ-MH,2.028,1.15,0.878,8,4,4,-78.882,-100.0,1.0,2.0,100.0,200.0,-4,-38.936,20.635,89.61,-68.975,0.667,0.25,0.0,0.0,1.0,0.25,0.0,0.333,0.25,0.5,1,2,3,2,0,0,0,0,1,0,3,2,2,2,1,1,1,1,1,0,3,3,4,8,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SD-IK-EF-AM7,1.933,1.135,0.798,7,4,3,20.69,-8.333,1.25,1.333,125.0,133.333,1,60.636,45.635,22.944,22.691,0.667,0.25,0.0,0.0,0.667,0.333,0.333,0.0,0.333,0.5,1,2,2,1,1,1,0,0,1,0,3,2,3,2,0,0,0,0,1,1,3,2,5,4,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SD-AC-AM7-MH,1.923,1.055,0.868,7,4,3,-20.797,-66.667,1.0,1.667,100.0,166.667,-1,19.15,20.635,56.277,-35.642,0.667,0.5,0.25,0.0,1.0,0.333,0.0,0.0,0.333,0.5,1,2,2,2,1,0,0,0,2,1,3,2,1,1,1,1,0,0,1,0,2,2,4,5,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-AC-IK-KJ-MH,1.847,1.642,0.205,6,4,2,-43.321,-150.0,0.5,2.0,50.0,200.0,-2,-3.375,-29.365,89.61,-118.975,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0,1,1,1,1,0,0,0,2,0,2,1,2,2,0,0,0,0,0,0,2,2,2,4,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
