Week,PossessionID,Side,Notes,HeightSortedLineup,IncompleteResult,Duration,2FGA,2FGM,3PA,3PM,FTA,FTM,TOV,ORB,FOUL,PTS,Team_DefPoss,Team_AllowMiddle,Team_AllowPaintTouch,Team_AllowUC3,Team_AllowOBoard,Team_Deflections
1,1,Defense,P1,MS-SD-SN-SI-AM7-KJ,False,0:15.3,0,0,0,0,0,0,1,0,0,0,True,False,True,False,False,False
1,2,Defense,P1,MS-SD-SI-KJ-MH,False,0:09.6,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
1,3,Offense,P1,MS-SD-SI-KJ-MH,False,0:08.2,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
1,4,Defense,P1,MS-SD-SI-KJ-MH,False,0:13.3,0,0,0,0,2,2,0,0,1,2,True,False,False,False,False,False
1,5,Defense,P1,MS-SD-SI-AM7-MH,False,0:15.9,0,0,1,0,0,0,0,0,0,0,True,True,True,True,False,False
1,6,Defense,P1,SD-SI-AM7-KJ-MH,False,0:06.3,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True
1,7,Defense,P1,SD-SI-AM7-KJ-MH,False,0:15.5,0,0,1,0,0,0,0,0,0,0,True,True,False,False,False,False
1,8,Offense,P1,SD-SI-AM7-KJ-MH,False,0:17.0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
1,9,Offense,P1,SD-SI-AM7-KJ-MH,False,0:21.0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,10,Defense,P1,MS-SD-AM7-KJ-MH,False,0:21.3,0,0,1,0,0,0,0,0,0,0,True,False,True,True,False,False
1,11,Defense,P1,MS-SI-AM7-KJ-MH,False,0:10.9,1,1,0,0,0,0,0,0,0,2,True,True,True,False,False,False
1,12,Defense,P1,MS-SI-AM7-KJ-MH,False,0:07.3,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
1,13,Defense,P1,MS-SI-AM7-KJ-MH,False,0:06.6,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
1,14,Defense,P1,MS-SI-AM7-KJ-MH,False,0:09.1,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,True
1,15,Defense,P1,MS-SD-SI-AM7-MH,False,0:13.8,0,0,0,0,0,0,1,0,0,0,True,False,True,False,False,False
1,16,Defense,P1,MS-SD-SI-KJ-MH,True,0:09.2,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
1,17,Defense,P1,MS-SD-SI-KJ-MH,False,0:09.6,0,0,1,1,0,0,0,0,0,3,True,False,True,True,False,False
1,18,Defense,P1,MS-SD-SI-KJ-MH,False,0:17.0,1,0,0,0,0,0,0,0,0,0,True,True,True,False,True,False
1,19,Defense,P1,SD-SI-AM7-KJ-MH,False,0:11.8,1,0,1,0,0,0,0,1,0,0,True,False,True,True,False,False
1,20,Defense,P1,SD-SI-AM7-KJ-MH,False,0:13.7,0,0,1,0,0,0,0,0,0,0,True,False,False,True,False,False
1,21,Offense,P2,MS-SD-AM7-KJ-MH,False,0:19.4,1,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False
1,22,Defense,P2,MS-SD-AM7-KJ-MH,True,0:19.1,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False
1,23,Defense,P2,MS-SD-AM7-KJ-MH,False,0:14.2,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,False
