#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,9,P1,,"Defense, Allow Paint Touch",,,0:15.3,,,0:09.64,0:24.90,Live,,,,,"#24 Kayla Jones, #08 Shanayka Ismar, #02 Mari Somvichian, Half-court, #06 Shawnee Nordstrom, #0 Sarah Deng, #07 Ana Milanovic",,,
2,9,P1,,Defense,,,0:09.6,,,0:42.02,0:51.63,Live,,,,,"#0 Sarah Deng, #55 Maya Hernandez, #02 Mari Somvichian, #24 Kayla Jones, #08 Shanayka Ismar, Half-court",,,
3,9,P1,,Offense,,,0:08.2,,,2:11.75,2:19.93,Live,,,,,"#55 Maya Hernandez, #0 Sarah Deng, Half-court, #02 Mari Somvichian, #24 Kayla Jones, #08 Shanayka Ismar",,,
4,0-1-1,P1,,Defense,,,0:13.3,,,2:30.33,2:43.66,Live,,,,,"#55 Maya Hernandez, #08 Shanayka Ismar, Half-court, #0 Sarah Deng, #02 Mari Somvichian, #24 Kayla Jones",,,
5,#,P1,,"Defense, Allow Middle, Allow UC 3, Allow Paint Touch",,,0:15.9,,,2:54.95,3:10.89,Live,,,,,"#55 Maya Hernandez, #07 Ana Milanovic, Half-court, #0 Sarah Deng, #08 Shanayka Ismar, #02 Mari Somvichian",,,
6,9,P1,,"Defense, Deflection",,,0:06.3,,,3:24.81,3:31.16,Live,,,,,"#08 Shanayka Ismar, #24 Kayla Jones, #55 Maya Hernandez, Half-court, #07 Ana Milanovic, #0 Sarah Deng",,,
7,#,P1,,"Defense, Allow Middle",,,0:15.5,,,3:35.84,3:51.32,Live,,,,,"#07 Ana Milanovic, #24 Kayla Jones, #08 Shanayka Ismar, #55 Maya Hernandez, #0 Sarah Deng, Half-court",,,
8,9,P1,,"Offense, Ball Screen",,,0:17.0,,,4:35.31,4:52.32,Live,,,,,"#24 Kayla Jones, #07 Ana Milanovic, #0 Sarah Deng, #08 Shanayka Ismar, #55 Maya Hernandez, Half-court",,,
9,@,P1,,Offense,,,0:21.0,,,5:08.83,5:29.87,Live,,,,,"#08 Shanayka Ismar, #07 Ana Milanovic, #55 Maya Hernandez, #0 Sarah Deng, #24 Kayla Jones, Half-court",,,
10,#,P1,,"Defense, Allow Paint Touch, Allow UC 3",,,0:21.3,,,5:41.43,6:02.69,Live,,,,,"#02 Mari Somvichian, #24 Kayla Jones, #0 Sarah Deng, #55 Maya Hernandez, #07 Ana Milanovic, Half-court",,,
11,2,P1,,"Defense, Allow Middle, Allow Paint Touch",,,0:10.9,,,6:19.02,6:29.92,Live,,,,,"#24 Kayla Jones, #07 Ana Milanovic, #08 Shanayka Ismar, Half-court, #02 Mari Somvichian, #55 Maya Hernandez",,,
