#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
161,,vid1,9,"Defense, 5v5 Live, Allow_Middle, Allow_Paint_Touch, Deflection_",,,0:18.7,N/A,N/A,7:35.90,7:54.57,Live,,,,,"#2 Mari Somvichian, #13 Ivana Krajina, #6 Shawnee Nordstrom, #24 Kayla Jones, #55 Maya Hernandez",,,
162,,vid1,),"Defense, 5v5 Live",,,0:08.2,N/A,N/A,8:02.66,8:10.85,Live,,,,,"#3 Danae Powell, #4 Allison Clarke, #0 Sarah Deng, #8 Shanayka Ismar, #22 Ali'a Matavao",,,
163,,vid1,),"Defense, 5v5 Live, Allow_UC3",,,0:07.8,N/A,N/A,8:15.39,8:23.20,Live,,,,,"#3 Danae Powell, #22 Ali'a Matavao, #8 Shanayka Ismar, #0 Sarah Deng, #4 Allison Clarke",,,
164,,vid1,),"Defense, 5v5 Live, Allow_Middle",,,0:09.2,N/A,N/A,8:31.43,8:40.65,Live,,,,,"#3 Danae Powell, #4 Allison Clarke, #0 Sarah Deng, #22 Ali'a Matavao, #8 Shanayka Ismar",,,
165,,vid1,9,"Defense, 5v5 Live",,,0:12.0,N/A,N/A,9:01.76,9:13.76,Live,,,,,"#3 Danae Powell, #4 Allison Clarke, #0 Sarah Deng, #8 Shanayka Ismar, #22 Ali'a Matavao",,,
166,,vid1,),"Defense, 5v5 Live, Allow_Middle, Allow_Paint_Touch",,,0:14.0,N/A,N/A,9:41.63,9:55.66,Live,,,,,"#3 Danae Powell, #4 Allison Clarke, #0 Sarah Deng, #8 Shanayka Ismar, #22 Ali'a Matavao",,,
167,,vid1,),"Defense, 5v5 Live, Allow_Paint_Touch",,,0:08.5,N/A,N/A,9:59.63,10:08.09,Live,,,,,"#6 Shawnee Nordstrom, #2 Mari Somvichian, #13 Ivana Krajina, #24 Kayla Jones, #55 Maya Hernandez",,,
168,,vid1,3,"Defense, 5v5 Live, Allow_Paint_Touch, Allow_UC3, Deflection_",,,0:14.2,N/A,N/A,10:17.00,10:31.23,Live,,,,,"#6 Shawnee Nordstrom, #13 Ivana Krajina, #2 Mari Somvichian, #24 Kayla Jones, #55 Maya Hernandez",,,
169,,vid1,3,"Defense, 5v5 Live, Allow_Paint_Touch, Allow_UC3",,,0:06.1,N/A,N/A,10:42.76,10:48.89,Live,,,,,"#6 Shawnee Nordstrom, #55 Maya Hernandez, #24 Kayla Jones, #13 Ivana Krajina, #2 Mari Somvichian",,,
170,,vid1,#,"Defense, 5v5 Live, Allow_Paint_Touch, Allow_UC3",,,0:14.6,N/A,N/A,11:11.76,11:26.36,Live,,,,,"#6 Shawnee Nordstrom, #55 Maya Hernandez, #13 Ivana Krajina, #24 Kayla Jones, #2 Mari Somvichian",,,
171,,vid1,#,"Defense, 5v5 Live, Allow_Paint_Touch, Allow_UC3",,,0:13.1,N/A,N/A,11:38.13,11:51.19,Live,,,,,"#6 Shawnee Nordstrom, #2 Mari Somvichian, #13 Ivana Krajina, #24 Kayla Jones, #55 Maya Hernandez",,,
172,,vid1,2,"Defense, 5v5 Live, Allow_Paint_Touch",,,0:06.2,N/A,N/A,12:20.33,12:26.50,Live,,,,,"#6 Shawnee Nordstrom, #2 Mari Somvichian, #13 Ivana Krajina, #24 Kayla Jones, #55 Maya Hernandez",,,
173,,vid1,@-8-2,"Defense, 5v5 Live, Allow_O-Board, Allow_Paint_Touch",,,0:15.1,N/A,N/A,12:28.59,12:43.72,Live,,,,,"#6 Shawnee Nordstrom, #2 Mari Somvichian, #13 Ivana Krajina, #55 Maya Hernandez, #24 Kayla Jones",,,
