#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,3,P5,,"Defense, Lineup, Allow Middle, Allow Paint Touch, Allow UC 3",,,0:20.0,,,0:06.53,0:26.53,Live,,,,,"#04 Allison Clarke, #06 Shawnee Nordstrom, #55 Maya Hernandez, #0 Sarah Deng, #24 Kayla Jones",,,
2,0,P5,,"Defense, Lineup",,,0:10.3,,,0:46.55,0:56.83,Live,,,,,"#04 Allison Clarke, #24 Kayla Jones, #55 Maya Hernandez, #0 Sarah Deng, #06 Shawnee Nordstrom",,,
3,),P5,,"Lineup, Defense",,,0:14.2,,,1:03.75,1:17.92,Live,,,,,"#08 Shanayka Ismar, #11 Erica Finney, #03 Danae Powell, #30 Janay Brantley, #22 Ali'a Matavao",,,
4,9,P5,,"Defense, Lineup, Deflection",,,0:06.4,,,2:11.24,2:17.63,Live,,,,,"#03 Danae Powell, #02 Mari Somvichian, #11 Erica Finney, #13 Ivana Krajina, #07 Ana Milanovic",,,
5,9,P5,,"Defense, Lineup, Deflection",,,0:10.6,,,2:26.19,2:36.77,Live,,,,,"#03 Danae Powell, #07 Ana Milanovic, #11 Erica Finney, #13 Ivana Krajina, #02 Mari Somvichian",,,
6,9,P5,,"Defense, Lineup, Allow Middle, Allow Paint Touch, Deflection",,,0:12.9,,,2:44.79,2:57.66,Live,,,,,"#55 Maya Hernandez, #0 Sarah Deng, #04 Allison Clarke, #24 Kayla Jones, #06 Shawnee Nordstrom",,,
7,),P5,,"Defense, Lineup",,,0:09.1,,,3:16.36,3:25.49,Live,,,,,"#11 Erica Finney, #08 Shanayka Ismar, #30 Janay Brantley, #03 Danae Powell, #22 Ali'a Matavao",,,
8,2,P5,,"Defense, Lineup, Allow Middle, Allow Paint Touch",,,0:19.2,,,0:06.68,0:25.93,Live,,,,,"#03 Danae Powell, #11 Erica Finney, #08 Shanayka Ismar, #22 Ali'a Matavao, #30 Janay Brantley",,,
9,2,P5,,"Lineup, Defense, Allow Paint Touch",,,0:10.6,,,0:45.82,0:56.40,Live,,,,,"#06 Shawnee Nordstrom, #04 Allison Clarke, #0 Sarah Deng, #24 Kayla Jones, #55 Maya Hernandez",,,
10,9,P5,,"Lineup, Defense, Deflection",,,0:14.6,,,1:10.72,1:25.30,Live,,,,,"#22 Ali'a Matavao, #08 Shanayka Ismar, #30 Janay Brantley, #11 Erica Finney, #03 Danae Powell",,,
11,#,P5,,"Defense, Lineup, Allow Paint Touch, Allow UC 3",,,0:17.6,,,2:02.16,2:19.80,Live,,,,,"#02 Mari Somvichian, #13 Ivana Krajina, #03 Danae Powell, #11 Erica Finney, #07 Ana Milanovic",,,
12,3,P5,,"Lineup, Defense, Allow Middle",,,0:20.5,,,2:35.79,2:56.32,Live,,,,,"#0 Sarah Deng, #55 Maya Hernandez, #24 Kayla Jones, #06 Shawnee Nordstrom, #04 Allison Clarke",,,
13,3,P5,,"Defense, Lineup, Allow UC 3",,,0:22.5,,,3:52.25,4:14.70,Live,,,,,"#22 Ali'a Matavao, #03 Danae Powell, #11 Erica Finney, #08 Shanayka Ismar, #30 Janay Brantley",,,
14,9,P5,,"Defense, Lineup",,,0:14.0,,,4:53.79,5:07.82,Live,,,,,"#03 Danae Powell, #07 Ana Milanovic, #13 Ivana Krajina, #02 Mari Somvichian, #11 Erica Finney",,,
15,9,P5,,"Defense, Lineup",,,0:15.5,,,5:34.65,5:50.12,Live,,,,,"#04 Allison Clarke, #06 Shawnee Nordstrom, #0 Sarah Deng, #24 Kayla Jones, #55 Maya Hernandez",,,
16,2,P5,,"Defense, Lineup, Allow Paint Touch",,,0:17.0,,,6:13.53,6:30.52,Live,,,,,"#30 Janay Brantley, #03 Danae Powell, #11 Erica Finney, #08 Shanayka Ismar, #22 Ali'a Matavao",,,
17,3,P5,,"Defense, Lineup, Allow UC 3",,,0:20.6,,,7:02.75,7:23.37,Live,,,,,"#02 Mari Somvichian, #03 Danae Powell, #13 Ivana Krajina, #07 Ana Milanovic, #11 Erica Finney",,,
